Match URL,Team 1,Team 2,Score 1,Score 2,Event,Date
https://www.hltv.org/matches/2379821/imperial-valkyries-vs-prototype-blaze-esl-impact-league-season-7-europe,Imperial Valkyries,Prototype Blaze,2,0,ESL Impact League Season 7 Europe,2025-02-27
https://www.hltv.org/matches/2379990/mibr-academy-vs-yawara-liga-gamers-club-2025-serie-a-february-cup,MIBR Academy,Yawara,0,2,Liga Gamers Club 2025 Serie A February Cup,2025-02-27
https://www.hltv.org/matches/2379837/alliance-vs-parivision-cct-season-2-europe-series-20-closed-qualifier,Alliance,PARIVISION,2,1,CCT Season 2 Europe Series 20 Closed Qualifier,2025-02-27
https://www.hltv.org/matches/2379639/gun5-vs-fire-flux-cct-season-2-europe-series-19,GUN5,Fire Flux,2,0,CCT Season 2 Europe Series 19,2025-02-27
https://www.hltv.org/matches/2379813/swingers-vs-gamehunters-cct-season-2-south-america-series-8,Swingers,GameHunters,2,0,CCT Season 2 South America Series 8,2025-02-27
https://www.hltv.org/matches/2379989/tropa-do-vsm-vs-players-liga-gamers-club-2025-serie-a-february-cup,Tropa do VSM,Players,2,0,Liga Gamers Club 2025 Serie A February Cup,2025-02-27
https://www.hltv.org/matches/2379690/kono-vs-leo-united21-league-season-27,kONO,Leo,2,1,United21 League Season 27,2025-02-27
https://www.hltv.org/matches/2379712/fengda-vs-the-qube-esl-challenger-league-season-49-asia-pacific,FengDa,The QUBE,16,13,ESL Challenger League Season 49 Asia-Pacific,2025-02-27
https://www.hltv.org/matches/2379752/eyeballers-vs-jano-yalla-compass-winter-2025,EYEBALLERS,JANO,2,1,YaLLa Compass Winter 2025,2025-02-27
https://www.hltv.org/matches/2379638/spirit-academy-vs-zero-tenacity-cct-season-2-europe-series-19,Spirit Academy,Zero Tenacity,2,0,CCT Season 2 Europe Series 19,2025-02-27
https://www.hltv.org/matches/2379836/rush-b-vs-alaska-cct-season-2-europe-series-20-closed-qualifier,RUSH B,ALASKA,2,0,CCT Season 2 Europe Series 20 Closed Qualifier,2025-02-27
https://www.hltv.org/matches/2379711/the-qube-vs-fengda-esl-challenger-league-season-49-asia-pacific,The QUBE,FengDa,7,13,ESL Challenger League Season 49 Asia-Pacific,2025-02-27
https://www.hltv.org/matches/2379771/hotu-vs-atox-mesa-asian-masters-2025-asia-closed-qualifier,HOTU,ATOX,1,2,MESA Asian Masters 2025 Asia Closed Qualifier,2025-02-27
https://www.hltv.org/matches/2379835/rhyno-vs-bcgame-cct-season-2-europe-series-20-closed-qualifier,Rhyno,BC.Game,1,2,CCT Season 2 Europe Series 20 Closed Qualifier,2025-02-27
https://www.hltv.org/matches/2379637/9-pandas-vs-monte-cct-season-2-europe-series-19,9 Pandas,Monte,2,0,CCT Season 2 Europe Series 19,2025-02-27
https://www.hltv.org/matches/2379689/viperio-vs-adventurers-united21-league-season-27,Viperio,Adventurers,2,1,United21 League Season 27,2025-02-27
https://www.hltv.org/matches/2380009/victores-sumus-vs-gods-reign-skyesports-souvenir-national-championship-2025,Victores Sumus,Gods Reign,0,2,Skyesports Souvenir National Championship 2025,2025-02-27
https://www.hltv.org/matches/2379784/shika-vs-dogevil-mesa-asian-masters-2025-china-closed-qualifier,Shika,DogEvil,0,2,MESA Asian Masters 2025 China Closed Qualifier,2025-02-27
